Brand,Model,Price,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Kilométrage,Age,Essence,Diesel,Electric
Citroen,Jumper,91.9,False,2.179,5,7,0.0,0,False,True,False
Citroen,Jumper,94.9,False,2.179,5,7,0.0,0,False,True,False
Citroen,Berlingo_Multispace,103.9,False,1.56,5,5,0.0,0,False,True,False
Cupra,Leon,131.98,True,1.395,5,8,0.0,0,True,False,False
Cupra,Leon,141.98,True,1.395,5,8,0.0,0,True,False,False
Cupra,Formentor,167.98,True,1.998,5,11,0.0,0,True,False,False
Dacia,Sandero_Stepway,62.99,False,0.999,5,6,0.0,0,True,False,False
Dacia,Sandero_Stepway,72.99,True,0.999,5,6,0.0,0,True,False,False
Dacia,Sandero,57.45,False,0.999,5,5,0.0,0,True,False,False
Dacia,Logan,62.5,False,0.999,4,5,0.0,0,True,False,False
Dacia,Duster,88.7,False,1.461,5,5,0.0,0,False,True,False
Dacia,Duster,100.55,False,1.461,5,6,0.0,0,False,True,False
Dacia,Duster,101.35,True,1.461,5,6,0.0,0,False,True,False
Dfsk,Glory_500,67.9,False,1.498,5,7,0.0,0,True,False,False
Dfsk,Glory_500,83.9,True,1.498,5,7,0.0,0,True,False,False
Dfsk,Glory_580,99.9,True,1.499,5,8,0.0,0,True,False,False
Dfsk,Glory_Ix5,118.9,True,1.498,5,9,0.0,0,True,False,False
Dfsk,K01s,29.9,False,1.0,2,5,0.0,0,True,False,False
Dfsk,K01s,31.9,False,1.0,2,5,0.0,0,True,False,False
Dfsk,K01h,35.9,False,1.05,2,6,0.0,0,True,False,False
Dfsk,K01h,37.9,False,1.05,2,6,0.0,0,True,False,False
Dfsk,K02s,39.9,False,1.0,4,5,0.0,0,True,False,False
Dfsk,K02s,41.9,False,1.0,4,5,0.0,0,True,False,False
Dfsk,C31,46.9,False,1.493,2,7,0.0,0,True,False,False
Dfsk,C32,58.9,False,1.493,4,7,0.0,0,True,False,False
Dongfeng,Rich_6,98.9,False,2.498,4,8,0.0,0,False,True,False
Dongfeng,Rich_6,108.9,False,2.498,4,8,0.0,0,False,True,False
Dongfeng,Rich_6,112.9,False,2.498,4,8,0.0,0,False,True,False
Dongfeng,T5_Evo,122.7,True,1.5,5,9,0.0,0,True,False,False
Faw,Besturn_X40,84.9,True,1.598,5,6,0.0,0,True,False,False
Fiat,Tipo_Berline,54.9,False,1.368,4,5,0.0,0,True,False,False
Fiat,Tipo_Berline,81.5,False,1.368,4,5,0.0,0,True,False,False
Fiat,500,70.5,True,1.242,3,4,0.0,0,True,False,False
Fiat,Fiorino_Combi,82.0,False,1.248,5,4,0.0,0,False,True,False
Fiat,Doblo,67.49,False,1.56,5,5,0.0,0,False,True,False
Fiat,Ducato,90.4,False,2.179,2,7,0.0,0,False,True,False
Fiat,Ducato,92.4,False,2.179,2,7,0.0,0,False,True,False
Fiat,Ducato,94.4,False,2.179,2,7,0.0,0,False,True,False
Foday,F22_S,99.5,False,1.855,2,6,0.0,0,False,True,False
Foday,F22,109.8,False,1.855,4,6,0.0,0,False,True,False
Foday,F22_Max,116.8,False,1.855,4,6,0.0,0,False,True,False
Ford,Everest,257.0,True,1.996,5,13,0.0,0,False,True,False
Ford,Everest,285.0,True,1.996,5,13,0.0,0,False,True,False
Ford,Ranger,170.0,True,1.996,4,7,0.0,0,False,True,False
Ford,Ranger,235.0,True,1.996,4,5,0.0,0,False,True,False
Ford,Ranger_Raptor,320.0,True,1.996,4,5,0.0,0,False,True,False
Ford,Transit_Van,91.5,False,2.198,5,7,0.0,0,False,True,False
Ford,Transit_Bus,145.0,False,2.198,5,6,0.0,0,False,True,False
Gac_Motor,Ga4,69.9,True,1.495,4,6,0.0,0,True,False,False
Gac_Motor,Gs3,79.97,True,1.325,5,7,0.0,0,True,False,False
Geely,Gx3_Pro,68.8,True,1.498,5,6,0.0,0,True,False,False
Geely,Coolray,86.8,True,1.477,5,10,0.0,0,True,False,False
Geely,Coolray,98.8,True,1.477,5,10,0.0,0,True,False,False
Geely,Azkara,122.8,True,1.477,5,9,0.0,0,True,False,True
Great_Wall,Wingle_5_Double_Cabine,87.5,False,1.996,4,7,0.0,0,False,True,False
Great_Wall,Poer,115.9,False,1.996,5,11,0.0,0,False,True,False
Great_Wall,Poer_At,141.9,True,1.996,5,7,0.0,0,False,True,False
Haval,Jolion,102.9,True,1.479,5,9,0.0,0,True,False,False
Haval,H6_Hybride,144.9,True,1.499,5,8,0.0,0,True,False,True
Honda,Jazz,85.99,True,1.498,5,5,0.0,0,True,False,True
Honda,Hr_V,127.99,True,1.498,5,7,0.0,0,True,False,False
Honda,Zr_V,149.99,True,1.498,5,11,0.0,0,True,False,False
Honda,City,78.99,True,1.498,4,6,0.0,0,True,False,False
Honda,City,81.49,True,1.498,4,6,0.0,0,True,False,False
Honda,City,82.99,True,1.498,4,6,0.0,0,True,False,False
Honda,Civic,159.99,True,1.498,4,10,0.0,0,True,False,False
Honda,Civic_Hybride,186.99,True,1.993,4,7,0.0,0,True,False,True
Honda,Civic_Type_R,279.99,False,1.996,4,21,0.0,0,True,False,False
Honda,Accord,189.99,True,1.498,4,10,0.0,0,True,False,False
Hyundai,Grand_I10_Populaire,34.426,False,0.998,5,4,0.0,0,True,False,False
Hyundai,Grand_I10,51.95,False,1.197,5,5,0.0,0,True,False,False
Hyundai,Grand_I10,56.45,False,1.197,5,5,0.0,0,True,False,False
Hyundai,Grand_I10,60.95,True,1.197,5,5,0.0,0,True,False,False
Hyundai,Grand_I10_Sedan,56.95,False,1.197,4,5,0.0,0,True,False,False
Hyundai,I20,66.95,False,1.197,5,4,0.0,0,True,False,False
Hyundai,I20,72.95,False,1.197,5,4,0.0,0,True,False,False
Hyundai,I20,85.95,True,0.998,5,5,0.0,0,True,False,True
Hyundai,Venue,90.0,True,0.998,5,7,0.0,0,True,False,False
Hyundai,Creta,118.95,True,1.491,5,6,0.0,0,True,False,False
Hyundai,Kona_Ev,123.95,True,,5,11,0.0,0,False,False,False
Hyundai,Kona_Hybride,130.0,True,1.58,5,5,0.0,0,True,False,True
Hyundai,Kona,137.0,True,1.598,5,11,0.0,0,True,False,False
Hyundai,Kona,150.0,True,1.598,5,11,0.0,0,True,False,False
Hyundai,Tucson,180.0,True,1.598,5,10,0.0,0,True,False,False
Hyundai,Tucson_Hybride,170.0,True,1.598,5,9,0.0,0,True,False,True
Hyundai,Azera_Hybride,249.95,True,1.598,4,9,0.0,0,True,False,True
Hyundai,Ioniq_5,168.95,True,,5,9,0.0,0,False,False,False
Hyundai,Ioniq_5,210.95,True,,5,21,0.0,0,False,False,False
Hyundai,Santa_Fe,280.0,True,2.199,5,12,0.0,0,False,True,False
Hyundai,Palisade_Calligraphy,350.0,True,2.199,5,12,0.0,0,False,True,False
Hyundai,Palisade_Calligraphy,350.1,True,3.47,5,19,0.0,0,True,False,False
Hyundai,Staria,159.6,False,2.199,5,8,0.0,0,False,True,False
Hyundai,Staria_9_Places,190.0,False,2.199,5,11,0.0,0,False,True,False
Hyundai,Staria_9_Places,210.1,True,2.199,5,11,0.0,0,False,True,False
Hyundai,Staria_9_Places,280.0,True,2.199,5,11,0.0,0,False,True,False
Jac,T8_Dc,105.0,False,1.999,4,7,0.0,0,False,True,False
Jaguar,E_Pace,350.0,True,1.998,5,12,0.0,0,False,True,False
Jaguar,F_Pace,399.0,True,1.997,5,16,0.0,0,True,False,False
Jeep,Renegade,126.5,True,1.368,5,8,0.0,0,True,False,False
Jeep,Wrangler_2021,327.0,True,2.0,3,18,0.0,0,True,False,False
Jeep,Wrangler_Unlimited,375.0,True,2.0,5,18,0.0,0,True,False,False
Jeep,Wrangler_Unlimited,405.0,True,3.604,5,19,0.0,0,True,False,False
Kia,Picanto_Populaire,33.66,False,0.998,5,4,0.0,0,True,False,False
Kia,Picanto,52.98,False,1.197,5,5,0.0,0,True,False,False
Kia,Picanto,56.48,True,1.197,5,4,0.0,0,True,False,False
Kia,Picanto,62.48,True,1.197,5,4,0.0,0,True,False,False
Kia,Picanto,65.48,True,1.197,5,4,0.0,0,True,False,False
Kia,Stonic,72.98,False,1.197,5,5,0.0,0,True,False,False
Kia,Stonic,77.98,False,1.197,5,5,0.0,0,True,False,False
Kia,Sonet,88.48,False,1.497,5,6,0.0,0,True,False,False
Kia,Sonet,93.98,True,1.497,5,6,0.0,0,True,False,False
Kia,Sonet,99.98,True,1.497,5,6,0.0,0,True,False,False
Kia,Seltos,119.98,True,1.353,5,8,0.0,0,True,False,False
Kia,Niro,139.98,True,1.58,5,5,0.0,0,True,False,True
Kia,Niro,149.98,True,1.58,5,5,0.0,0,True,False,True
Kia,Sportage,140.98,True,1.598,5,10,0.0,0,True,False,False
Kia,Sportage,152.98,True,1.598,5,10,0.0,0,True,False,False
Kia,Sportage_Hybride,174.98,True,1.598,5,10,0.0,0,True,False,True
Kia,Sportage_Hybride,189.98,True,1.598,5,10,0.0,0,True,False,True
Kia,Ev6,199.98,True,,5,9,0.0,0,False,False,False
Kia,Ev6,219.98,True,,5,13,0.0,0,False,False,False
Kia,Ev6,239.98,True,,5,21,0.0,0,False,False,False
Kia,Ev6_Gt,262.98,True,,5,11,0.0,0,False,False,False
Land_Rover,Range_Rover_Evoque,340.0,True,1.999,5,9,0.0,0,False,True,False
Land_Rover,Range_Rover_Evoque,341.7,True,1.997,5,12,0.0,0,True,False,False
Land_Rover,Defender_90,398.0,True,1.997,3,21,0.0,0,True,False,False
Land_Rover,Defender,364.2,True,2.996,5,29,0.0,0,True,False,True
Land_Rover,Defender,413.0,True,1.997,5,21,0.0,0,True,False,False
Land_Rover,Range_Rover_Velar,396.5,True,1.998,5,15,0.0,0,True,False,False
Land_Rover,Range_Rover_Sport,607.2,True,2.996,5,29,0.0,0,True,False,True
Land_Rover,Range_Rover_Sport,647.0,True,2.997,5,25,0.0,0,True,False,True
Land_Rover,Range_Rover,702.5,True,2.997,5,24,0.0,0,True,False,True
Land_Rover,Range_Rover,723.0,True,2.997,5,16,0.0,0,True,False,True
Land_Rover,Range_Rover,1054.0,True,4.395,5,43,0.0,0,True,False,False
Mahindra,Kuv_100,43.96,False,1.198,5,5,0.0,0,True,False,False
Mahindra,Xuv_300,58.065,False,1.197,5,6,0.0,0,True,False,False
Mahindra,Xuv_300,63.065,False,1.197,5,6,0.0,0,True,False,False
Mahindra,Xuv_300,69.065,False,1.197,5,6,0.0,0,True,False,False
Mahindra,Pick_Up_Sc,60.916,False,2.179,2,7,0.0,0,False,True,False
Mahindra,Pick_Up_Dc,69.046,False,2.179,4,7,0.0,0,False,True,False
Mahindra,Pick_Up_Dc,78.046,False,2.179,4,7,0.0,0,False,True,False
Mercedes_Benz,Classe_A,159.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Classe_A,172.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Classe_A,184.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Classe_A_Berline,160.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Classe_A_Berline,172.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Classe_A_Berline,185.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Cla,191.0,True,1.332,4,9,0.0,0,True,False,False
Mercedes_Benz,Cla,218.0,True,1.332,4,9,0.0,0,True,False,False
Mercedes_Benz,Classe_C,223.0,True,1.496,4,9,0.0,0,True,False,True
Mercedes_Benz,Classe_C,257.0,True,1.496,4,9,0.0,0,True,False,True
Mercedes_Benz,Classe_C,261.0,True,1.496,4,9,0.0,0,True,False,True
Mercedes_Benz,Classe_C,278.0,True,1.496,4,9,0.0,0,True,False,True
Mercedes_Benz,Cle_Coupe,302.0,True,1.999,2,12,0.0,0,True,False,True
Mercedes_Benz,Classe_E,269.0,True,1.999,4,12,0.0,0,True,False,True
Mercedes_Benz,Classe_E,298.0,True,1.999,4,12,0.0,0,True,False,True
Mercedes_Benz,Classe_E,303.0,True,1.999,4,12,0.0,0,True,False,True
Mercedes_Benz,Classe_E,333.0,True,1.999,4,12,0.0,0,True,False,True
Mercedes_Benz,Classe_S,699.0,True,2.999,4,27,0.0,0,True,False,True
Mercedes_Benz,Gla,203.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Gla,221.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Glb,226.0,True,1.332,5,9,0.0,0,True,False,False
Mercedes_Benz,Glc,294.0,True,1.999,5,12,0.0,0,True,False,True
Mercedes_Benz,Glc,329.0,True,1.999,5,12,0.0,0,True,False,True
Mercedes_Benz,Glc_Coupe,349.0,True,1.999,5,12,0.0,0,True,False,True
Mercedes_Benz,Gle,568.0,True,1.993,5,17,0.0,0,False,True,True
Mercedes_Benz,Gle_Coupe,588.0,True,1.993,5,16,0.0,0,False,True,True
Mercedes_Benz,Classe_V,468.0,True,1.95,3,12,0.0,0,False,True,False
Mg,3,56.95,False,1.498,5,6,0.0,0,True,False,False
Mg,3,63.95,False,1.498,5,6,0.0,0,True,False,False
Mg,3,69.95,True,1.498,5,6,0.0,0,True,False,False
Mg,3_Hybride,76.95,True,1.498,5,5,0.0,0,True,False,True
Mg,5,63.95,False,1.498,4,6,0.0,0,True,False,False
Mg,5,67.45,False,1.498,4,6,0.0,0,True,False,False
Mg,5,71.95,True,1.498,4,7,0.0,0,True,False,False
Mg,Gt,80.95,False,1.498,4,7,0.0,0,True,False,False
Mg,Gt,85.95,True,1.498,4,7,0.0,0,True,False,False
Mg,Gt,95.45,True,1.498,4,9,0.0,0,True,False,False
Mg,Zs,80.95,False,1.498,5,7,0.0,0,True,False,False
Mg,Zs,86.95,True,1.498,5,7,0.0,0,True,False,False
Mg,Zs,95.95,True,1.349,5,9,0.0,0,True,False,False
Mg,One,103.95,True,1.49,5,10,0.0,0,True,False,False
