Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Citroën C4 X 1.2L (2 finitions),89 900 DT,Essence,7,130,Automatique
Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Hyundai Venue 1.0 L Turbo BVA,90 000 DT,Essence,7,120,Automatique
Isuzu D-Max 2.5 Turbo diesel 4 portes 4X2,91 158 DT,Diesel,8,79,Manuelle
Nissan Juke Tekna (3 finitions),91 900 DT,Essence,6,117,Manuelle
Dongfeng Rich6 (versions 4×2 et 4×4),93 900 DT,Diesel,8,140,Manuelle
KING LONG Kingwin Ambulance Type B,94 600 DT,Diesel,9,,Manuelle
Toyota C-HR 1.2 L BVM,94 900 DT,Essence,6,116,Manuelle
BYD Dolphin EV,94 990 DT,Électrique,5,95,Automatique
ZX AUTO TERRALORD 4×4,95 000 DT,Diesel,9,137,Manuelle
Soueast DX3 (boite auto),96 990 DT,Essence,8,145,Automatique
Peugeot 2008 Active 1.2 L (2 finitions),97 900 DT,Essence,7,130,Automatique
Skoda Octavia 1.4 TSI (5 finitions),97 980 DT,Diesel,7,143,Manuelle
Foday F22 S BVM 4×4,98 800 DT,Diesel,6,138,Manuelle
Chery Tiggo 7 Pro 1.5L Turbo (sur arrivage),99 580 DT,Essence,9,147,Automatique
Suzuki Jimny 1.5 L GL 4X4 (en boîte auto ou manuelle),99 900 DT,Essence,6,102,Manuelle
MG 4 Luxury +,99 950 DT,Électrique,5,205,Automatique
Seat Leon 1.4 TSI (2 finitions),99 980 DT,Essence,8,150,Automatique
Peugeot Rifter Active Pack HDI 1.6 L,100 900 DT,Diesel,5,90,Manuelle
Renault Mégane 4 Sedan (2 finitions),101 650 DT,Diesel,6,110,Manuelle
Haval Jolion 1.5L,101 980 DT,Essence,9,143,Automatique
SsangYong Tivoli restylé,102 575 DT,Essence,8,163,Automatique
Peugeot Landtrek 4×4 Double Cabine 1.9 L,102 990 DT,Diesel,6,150,Manuelle
MG One Luxury plus 1.5L,103 950 DT,Essence,10,180,Automatique
Opel Mokka 1.2 L (2 finitions),104 900 DT,Essence,7,130,Automatique
Peugeot 308 Allure,105 900 DT,Essence,7,130,Automatique
Opel Astra (2 finitions),105 900 DT,Essence,7,130,Automatique
Chevrolet Captiva 1.5L Turbo CVT,105 913 DT,Essence,9,147,Automatique
BYD King Plus DM-I Hybride Rechargeable,105 990 DT,Hybride,5,,Automatique
DS 3 CROSSBACK CHIC+ 1.2 L,106 900 DT,Essence,7,130,Automatique
Toyota Corolla Sedan Active 1.8 L,109 800 DT,Essence,7,122,Manuelle
