Brand,Model,Price,Boite vitesse,Cylindrée,Puissance fiscale,Kilométrage,Age,Essence,Diesel,Electric
Dfsk,Glory_500,83.9,True,1.498,7,0.0,0.0,True,False,False
Dfsk,Glory_580,99.9,True,1.499,8,0.0,0.0,True,False,False
Dfsk,Glory_Ix5,118.9,True,1.498,9,0.0,0.0,True,False,False
Dfsk,K01s,29.9,False,1.0,5,0.0,0.0,True,False,False
Dfsk,K01s,31.9,False,1.0,5,0.0,0.0,True,False,False
Dfsk,K01h,35.9,False,1.05,6,0.0,0.0,True,False,False
Dfsk,K01h,37.9,False,1.05,6,0.0,0.0,True,False,False
Dfsk,K02s,39.9,False,1.0,5,0.0,0.0,True,False,False
Dfsk,K02s,41.9,False,1.0,5,0.0,0.0,True,False,False
Dfsk,C31,46.9,False,1.493,7,0.0,0.0,True,False,False
Dfsk,C32,58.9,False,1.493,7,0.0,0.0,True,False,False
Dongfeng,Rich_6,98.9,False,2.498,8,0.0,0.0,False,True,False
Dongfeng,Rich_6,108.9,False,2.498,8,0.0,0.0,False,True,False
Dongfeng,Rich_6,112.9,False,2.498,8,0.0,0.0,False,True,False
Dongfeng,T5_Evo,122.7,True,1.5,9,0.0,0.0,True,False,False
Faw,Besturn_X40,84.9,True,1.598,6,0.0,0.0,True,False,False
Fiat,Tipo_Berline,54.9,False,1.368,5,0.0,0.0,True,False,False
Fiat,Tipo_Berline,81.5,False,1.368,5,0.0,0.0,True,False,False
Fiat,500,70.5,True,1.242,4,0.0,0.0,True,False,False
Fiat,Fiorino_Combi,82.0,False,1.248,4,0.0,0.0,False,True,False
Fiat,Doblo,67.49,False,1.56,5,0.0,0.0,False,True,False
Fiat,Ducato,90.4,False,2.179,7,0.0,0.0,False,True,False
Fiat,Ducato,92.4,False,2.179,7,0.0,0.0,False,True,False
Fiat,Ducato,94.4,False,2.179,7,0.0,0.0,False,True,False
Foday,F22_S,99.5,False,1.855,6,0.0,0.0,False,True,False
Foday,F22,109.8,False,1.855,6,0.0,0.0,False,True,False
Foday,F22_Max,116.8,False,1.855,6,0.0,0.0,False,True,False
Ford,Everest,257.0,True,1.996,13,0.0,0.0,False,True,False
Ford,Everest,285.0,True,1.996,13,0.0,0.0,False,True,False
Ford,Ranger,170.0,True,1.996,7,0.0,0.0,False,True,False
Ford,Ranger,235.0,True,1.996,5,0.0,0.0,False,True,False
Ford,Ranger_Raptor,320.0,True,1.996,5,0.0,0.0,False,True,False
Ford,Transit_Van,91.5,False,2.198,7,0.0,0.0,False,True,False
Ford,Transit_Bus,145.0,False,2.198,6,0.0,0.0,False,True,False
Gac_Motor,Ga4,69.9,True,1.495,6,0.0,0.0,True,False,False
Gac_Motor,Gs3,79.97,True,1.325,7,0.0,0.0,True,False,False
Geely,Gx3_Pro,68.8,True,1.498,6,0.0,0.0,True,False,False
Geely,Coolray,86.8,True,1.477,10,0.0,0.0,True,False,False
Geely,Coolray,98.8,True,1.477,10,0.0,0.0,True,False,False
Geely,Azkara,122.8,True,1.477,9,0.0,0.0,True,False,True
Great_Wall,Wingle_5_Double_Cabine,87.5,False,1.996,7,0.0,0.0,False,True,False
Great_Wall,Poer,115.9,False,1.996,11,0.0,0.0,False,True,False
Great_Wall,Poer_At,141.9,True,1.996,7,0.0,0.0,False,True,False
Haval,Jolion,102.9,True,1.479,9,0.0,0.0,True,False,False
Haval,H6_Hybride,144.9,True,1.499,8,0.0,0.0,True,False,True
Honda,Jazz,85.99,True,1.498,5,0.0,0.0,True,False,True
Honda,Hr_V,127.99,True,1.498,7,0.0,0.0,True,False,False
Honda,Zr_V,149.99,True,1.498,11,0.0,0.0,True,False,False
Honda,City,78.99,True,1.498,6,0.0,0.0,True,False,False
Honda,City,81.49,True,1.498,6,0.0,0.0,True,False,False
Honda,City,82.99,True,1.498,6,0.0,0.0,True,False,False
Honda,Civic,159.99,True,1.498,10,0.0,0.0,True,False,False
Honda,Civic_Hybride,186.99,True,1.993,7,0.0,0.0,True,False,True
Honda,Civic_Type_R,279.99,False,1.996,21,0.0,0.0,True,False,False
Honda,Accord,189.99,True,1.498,10,0.0,0.0,True,False,False
Hyundai,Grand_I10_Populaire,34.426,False,0.998,4,0.0,0.0,True,False,False
Hyundai,Grand_I10,51.95,False,1.197,5,0.0,0.0,True,False,False
Hyundai,Grand_I10,56.45,False,1.197,5,0.0,0.0,True,False,False
Hyundai,Grand_I10,60.95,True,1.197,5,0.0,0.0,True,False,False
Hyundai,Grand_I10_Sedan,56.95,False,1.197,5,0.0,0.0,True,False,False
Hyundai,I20,66.95,False,1.197,4,0.0,0.0,True,False,False
Hyundai,I20,72.95,False,1.197,4,0.0,0.0,True,False,False
Hyundai,I20,85.95,True,0.998,5,0.0,0.0,True,False,True
Hyundai,Venue,90.0,True,0.998,7,0.0,0.0,True,False,False
Hyundai,Creta,118.95,True,1.491,6,0.0,0.0,True,False,False
Hyundai,Kona_Hybride,130.0,True,1.58,5,0.0,0.0,True,False,True
Hyundai,Kona,137.0,True,1.598,11,0.0,0.0,True,False,False
Hyundai,Kona,150.0,True,1.598,11,0.0,0.0,True,False,False
Hyundai,Tucson,180.0,True,1.598,10,0.0,0.0,True,False,False
Hyundai,Tucson_Hybride,170.0,True,1.598,9,0.0,0.0,True,False,True
Hyundai,Azera_Hybride,249.95,True,1.598,9,0.0,0.0,True,False,True
Hyundai,Santa_Fe,280.0,True,2.199,12,0.0,0.0,False,True,False
Hyundai,Palisade_Calligraphy,350.0,True,2.199,12,0.0,0.0,False,True,False
Hyundai,Palisade_Calligraphy,350.1,True,3.47,19,0.0,0.0,True,False,False
Hyundai,Staria,159.6,False,2.199,8,0.0,0.0,False,True,False
Hyundai,Staria_9_Places,190.0,False,2.199,11,0.0,0.0,False,True,False
Hyundai,Staria_9_Places,210.1,True,2.199,11,0.0,0.0,False,True,False
Hyundai,Staria_9_Places,280.0,True,2.199,11,0.0,0.0,False,True,False
Jac,T8_Dc,105.0,False,1.999,7,0.0,0.0,False,True,False
Jaguar,E_Pace,350.0,True,1.998,12,0.0,0.0,False,True,False
Jaguar,F_Pace,399.0,True,1.997,16,0.0,0.0,True,False,False
Jeep,Renegade,126.5,True,1.368,8,0.0,0.0,True,False,False
Jeep,Wrangler_2021,327.0,True,2.0,18,0.0,0.0,True,False,False
Jeep,Wrangler_Unlimited,375.0,True,2.0,18,0.0,0.0,True,False,False
Jeep,Wrangler_Unlimited,405.0,True,3.604,19,0.0,0.0,True,False,False
Kia,Picanto_Populaire,33.66,False,0.998,4,0.0,0.0,True,False,False
Kia,Picanto,52.98,False,1.197,5,0.0,0.0,True,False,False
Kia,Picanto,56.48,True,1.197,4,0.0,0.0,True,False,False
Kia,Picanto,62.48,True,1.197,4,0.0,0.0,True,False,False
Kia,Picanto,65.48,True,1.197,4,0.0,0.0,True,False,False
Kia,Stonic,72.98,False,1.197,5,0.0,0.0,True,False,False
Kia,Stonic,77.98,False,1.197,5,0.0,0.0,True,False,False
Kia,Sonet,88.48,False,1.497,6,0.0,0.0,True,False,False
Kia,Sonet,93.98,True,1.497,6,0.0,0.0,True,False,False
Kia,Sonet,99.98,True,1.497,6,0.0,0.0,True,False,False
Kia,Seltos,119.98,True,1.353,8,0.0,0.0,True,False,False
Kia,Niro,139.98,True,1.58,5,0.0,0.0,True,False,True
Kia,Niro,149.98,True,1.58,5,0.0,0.0,True,False,True
