Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Mercedes-Benz,Classe C,71 000DT,Automatique,Utilitaire,Noir,Noir,1796cm³,Ariana,(204) Phase 2 Break03/2011 - 07/2014,200000km,07.2011,180 CGI 1.8 16V CGI 7G-TRONIC+ BlueEFFICIENCY,5,4,156ch dyn,,9cv,,Cuir partiel,Traction,Essence
Land Rover,Defender 110,65 000DT,Manuelle,SUV/4x4,Vert,Noir,2500cm³,Tunis,I 11010/1990 - 04/2007,207000km,06.1998,,3,2,,,8cv,,Tissu,Intégrale,Diesel
Mercedes-Benz,Classe E coupé,62 000DT,Automatique,Coupé,Gris anthracite,Rouge,899cm³,Tunis,(207) Coupé05/2009 - 12/2014,160000km,12.2011,,4,3,,,11cv,,Cuir intégral,Propulsion,Essence
BMW,Série 4 Gran Coupé,120 000DT,Automatique,Berline,Blanc,Noir,899cm³,Tunis,(F36) Gran Coupé03/2014 - 02/2017,110000km,01.2017,,5,5,,,7cv,,Cuir intégral,Propulsion,Essence
Mercedes-Benz,Classe C,143 000DT,Automatique,Berline,Noir,Noir,1597cm³,Béja,(205) Berline03/2014 - 04/2021,67000km,11.2019,180 CDi 1.6 CDI 16V 9G-TRONIC BlueTEC,5,4,122ch dyn,,6cv,,Alcantara,Propulsion,Diesel
Mercedes-Benz,Classe C,74 000DT,Automatique,Berline,Noir,Noir,1600cm³,Sfax,(204) Phase 2 Berline03/2011 - 02/2014,159000km,11.2012,,5,4,,,9cv,,Cuir intégral,Propulsion,Essence
Land Rover,Range Rover Sport,338 000DT,Automatique,SUV/4x4,Noir,Beige,1590cm³,Tunis,Sport III05/2022 - Aujourd'hui,52400km,05.2021,P400 3.0 i 24V MHEV AWD,5,5,,,19cv,400ch dyn,Cuir intégral,Traction,Hybride rechargeable essence
Toyota,C-HR,78 000DT,Automatique,Compacte,Noir,Noir,1200cm³,Tunis,I Phase 210/2019 - 12/2023,102000km,01.2020,1.2 L,5,4,116ch dyn,,6cv,,Tissu,Traction,Essence
Land Rover,Range Rover Evoque,95 000DT,Automatique,SUV/4x4,Blanc,Rouge,1000cm³,Tunis,Evoque I (5p)03/2011 - 05/2015,122000km,05.2015,,4,4,,,15cv,,Tissu,Traction,Essence
Cupra,Formentor,145 000DT,Automatique,Compacte,Blanc,Noir,7000cm³,Tunis,07/2020 - Aujourd'hui,23000km,04.2022,2.0 TSI 16V DSG 7,4,4,190ch dyn,,11cv,,Tissu,Traction,Essence
Toyota,Corolla,70 000DT,Automatique,Compacte,Noir,Noir,1000cm³,Tunis,,66000km,01.2022,,4,4,,,6cv,,Tissu,Traction,Essence
Jaguar,F-Pace,180 000DT,Automatique,SUV/4x4,Noir,Noir,7000cm³,Tunis,10/2015 - Aujourd'hui,84000km,05.2018,,5,4,,,10cv,,Cuir intégral,Traction,Diesel
Jeep,Compass,95 000DT,Automatique,SUV/4x4,Noir,Noir,1000cm³,Tunis,II07/2017 - 04/2021,76000km,02.2020,,4,4,,,11cv,,Tissu,Traction,Essence
Toyota,Yaris Cross Hybride,114 000DT,Automatique,Compacte,Jaune,Marron,1000cm³,Tunis,07/2021 - Aujourd'hui,2000km,09.2024,,4,4,,,5cv,,Tissu,Traction,Hybride essence
Porsche,Cayenne,158 000DT,Automatique,Compacte,Noir,Noir,2000cm³,Tunis,92A02/2010 - 05/2018,183000km,08.2010,S 4.8 DFI V8 AWD 32V Tiptronic S,4,4,400ch dyn,,41cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,95 000DT,Automatique,Compacte,Noir,Noir,1000cm³,Tunis,(204) Phase 2 Berline03/2011 - 02/2014,56000km,01.2013,180 Kompressor 1.6 i 16V BlueEFFICIENCY,4,4,156ch dyn,,9cv,,Tissu,Traction,Essence
Porsche,Panamera,119 000DT,Automatique,Compacte,Noir,Noir,1000cm³,Tunis,970 Phase 206/2013 - 08/2016,183000km,01.2012,3.6 i V6 24V PDK,4,4,310ch dyn,,20cv,,Tissu,Traction,Essence
Volkswagen,Jetta,34 500DT,Automatique,Berline,Gris anthracite,Beige,1598cm³,Ariana,III Phase 2 (1K2)07/2008 - 10/2010,139000km,05.2009,,5,4,,,7cv,,Tissu,Traction,Essence
Fiat,Panda City Cross,41 000DT,Manuelle,Citadine,Blanc,Noir,1298cm³,Tunis,(312)01/2012 - Aujourd'hui,70000km,08.2020,City Cross 1.2 69 S&S,5,4,69ch dyn,,4cv,,Tissu,Traction,Essence
Great Wall,M4,41 000DT,Manuelle,SUV/4x4,Gris argent,Noir,1498cm³,Tunis,I02/2017 - 06/2021,100000km,05.2018,,5,4,,,7cv,,Similicuir,Traction,Essence
Hyundai,Grand i10,42 000DT,Manuelle,Citadine,Rouge,Noir,999cm³,BenArous,II phase 111/2020 - 11/2023,82000km,08.2022,,5,4,,,4cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,62 000DT,Automatique,Berline,Noir,Beige,1598cm³,BenArous,(204) Phase 2 Berline03/2011 - 02/2014,301000km,12.2012,,5,4,,,9cv,,Similicuir,Traction,Essence
Mercedes-Benz,Classe A,59 500DT,Automatique,Citadine,Bleu,Noir,1598cm³,BenArous,,135000km,09.2012,,5,4,,,6cv,,Similicuir,Traction,Essence
Hyundai,Grand i10,42 900DT,Manuelle,Citadine,Blanc,Noir,1198cm³,BenArous,II phase 111/2020 - 11/2023,79000km,03.2021,,5,4,,,5cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,105 000DT,Automatique,Berline,Noir,Noir,1598cm³,Ariana,(205) Berline03/2014 - 04/2021,172000km,12.2018,,5,4,,,8cv,,Similicuir,Traction,Essence
KIA,Optima,44 000DT,Automatique,Berline,Gris argent,Noir,1998cm³,BenArous,11/2010 - 07/2015,206000km,06.2012,,5,4,,,10cv,,Similicuir,Traction,Essence
KIA,Rio Berline,44 500DT,Manuelle,Berline,Noir,Marron,1198cm³,BenArous,III Sedan02/2012 - 10/2018,87000km,12.2017,,5,4,,,5cv,,Similicuir,Traction,Essence
BMW,X6,65 000DT,Automatique,SUV/4x4,Noir,Beige,3498cm³,BenArous,(E71)05/2008 - 06/2014,146000km,10.2008,,5,4,,,22cv,,Similicuir,Traction,Essence
Ford,Ranger Raptor,235 000DT,Automatique,Pickup,Noir,Noir,1998cm³,BenArous,III (TKE) Phase 310/2019 - Aujourd'hui,57000km,02.2022,,5,4,,,7cv,,Alcantara,Traction,Diesel
Volkswagen,Golf 7,38 500DT,Automatique,Citadine,Gris argent,Noir,1198cm³,Ariana,VII 5 Portes08/2012 - 10/2016,307000km,04.2013,,5,4,,,6cv,,Tissu,Traction,Essence
BMW,Série 5,236 500DT,Automatique,Berline,Noir,Marron,1998cm³,Ariana,(G30) LCI Berline07/2020 - Aujourd'hui,58000km,06.2022,,5,4,,,10cv,,Similicuir,Traction,Hybride diesel
Haval,H6,75 000DT,Automatique,SUV/4x4,Noir,Marron,1498cm³,BenArous,II01/2019 - 06/2021,73000km,03.2020,1.5 T 143cv boite auto,5,4,143ch dyn,,9cv,,Similicuir,Traction,Essence
Citroën,C4,29 500DT,Manuelle,Citadine,Gris anthracite,Noir,1389cm³,Ariana,II (B7)09/2010 - 06/2018,195000km,06.2014,,5,4,,,6cv,,Alcantara,Traction,Essence
Hyundai,Tucson Hybride,120 000DT,Automatique,SUV/4x4,Blanc,Noir,1598cm³,BenArous,IV10/2020 - Aujourd'hui,109000km,10.2021,,5,4,,,7cv,,Similicuir,Traction,Hybride diesel
Citroën,C3,41 000DT,Automatique,Citadine,Noir,Noir,1198cm³,BenArous,III (B618)07/2016 - 06/2020,94000km,12.2017,1.2 THP PureTech 12V EAT6 S&S,5,4,110ch dyn,,6cv,,Tissu,Traction,Essence
Honda,City,49 500DT,Automatique,Berline,Noir,Noir,1498cm³,Tunis,VI05/2016 - 09/2021,89000km,06.2021,1.5 L CVT,5,4,120ch dyn,,7cv,,Tissu,Traction,Essence
KIA,Picanto,41 900DT,Automatique,Citadine,Rouge,Noir,1198cm³,Tunis,(TA) 5 Portes05/2011 - 01/2015,111000km,05.2019,1.2 MPi 16V,5,4,85ch dyn,,5cv,,Similicuir,Traction,Essence
Fiat,500,26 000DT,Manuelle,Monospace,Rouge,Noir,1289cm³,Tunis,III07/2007 - 06/2012,170000km,12.2011,,4,2,,,4cv,,Tissu,Traction,Essence
Nissan,Juke,48 500DT,Automatique,SUV/4x4,Rouge,Noir,1598cm³,Tunis,F1501/2010 - 09/2019,125000km,08.2015,1.6 L 4X2,5,4,117ch dyn,,7cv,,Similicuir,Traction,Essence
Fiat,Siena,18 500DT,Manuelle,Berline,Gris argent,Noir,1398cm³,Tunis,FL01/2002 - 12/2011,300000km,04.2004,,5,4,,,5cv,,Tissu,Traction,Essence
Seat,Leon SC,49 500DT,Manuelle,Citadine,Gris anthracite,Noir,1198cm³,Tunis,III (5F5) SC 3 portes11/2012 - 10/2016,70000km,03.2016,1.2 TSI 16V S&S,5,4,110ch dyn,,6cv,,Alcantara,Traction,Essence
Jeep,Grand Cherokee,180 000DT,Automatique,SUV/4x4,Noir,Beige,3598cm³,Tunis,IV Phase 2 (WK)03/2013 - Aujourd'hui,132000km,11.2016,,5,4,,,20cv,,Similicuir,Traction,Essence
MG,ZS,65 000DT,Automatique,SUV/4x4,Blanc,Noir,1498cm³,BenArous,ZS SUV03/2017 - 11/2021,96000km,06.2020,,5,4,,,7cv,,Similicuir,Traction,Essence
KIA,Rio 5p,40 900DT,Manuelle,Citadine,Gris argent,Noir,1242cm³,BenArous,III Sedan02/2012 - 10/2018,143000km,05.2016,1.2 i-CVVT 16V,5,4,85ch dyn,,5cv,,Tissu,Traction,Essence
Audi,Q2,104 900DT,Automatique,SUV/4x4,Blanc,Noir,999cm³,Ariana,06/2016 - 08/2020,78000km,12.2018,,5,4,,,7cv,,Tissu,Traction,Essence
Volkswagen,Polo,21 900DT,Manuelle,Citadine,Noir,Autre,999cm³,BenArous,IV Phase 206/2005 - 11/2009,144000km,07.2006,,5,4,,,4cv,,Tissu,Traction,Essence
Citroën,C3,27 500DT,Manuelle,Citadine,Noir,Noir,1398cm³,BenArous,I (FC/FN) Classic/First11/2009 - 01/2011,192000km,09.2011,,5,4,,,5cv,,Tissu,Traction,Essence
Volkswagen,Polo,44 900DT,Manuelle,Citadine,Noir,Noir,999cm³,BenArous,VI Phase 207/2021 - Aujourd'hui,112000km,03.2022,,5,4,,,4cv,,Tissu,Traction,Essence
Peugeot,301,25 500DT,Manuelle,Berline,Gris anthracite,Noir,1198cm³,Ariana,phase 201/2017 - Aujourd'hui,195000km,10.2018,,5,4,,,5cv,,Tissu,Traction,Essence
Peugeot,208,39 000DT,Manuelle,Citadine,Blanc,Noir,999cm³,BenArous,II (P21) 5 Portes10/2019 - 03/2024,11000km,11.2020,,5,4,,,4cv,,Tissu,Traction,Essence
Ford,Fiesta,33 500DT,Manuelle,Citadine,Rouge,Noir,1398cm³,Tunis,VI 5 portes10/2008 - 05/2013,140000km,04.2015,1.25 i 16V,5,4,82ch dyn,,5cv,,Alcantara,Traction,Essence
Fiat,Grande Punto,17 500DT,Manuelle,Citadine,Noir,Noir,1198cm³,BenArous,01/2009 - 12/2011,166000km,06.2010,,5,4,,,5cv,,Tissu,Traction,Essence
Hyundai,H-1,23 000DT,Manuelle,Autres,Blanc,Noir,2198cm³,BenArous,01/1998 - 12/2007,224000km,03.2002,,3,2,,,8cv,,Tissu,Traction,Diesel
Peugeot,208,45 500DT,Manuelle,Citadine,Blanc,Noir,1198cm³,BenArous,II (P21) 5 Portes10/2019 - 03/2024,37000km,06.2022,,5,4,,,4cv,,Similicuir,Traction,Essence
Mercedes-Benz,ML,80 000DT,Automatique,SUV/4x4,Noir,Noir,2987cm³,Tunis,Phase 2 (164)04/2008 - 12/2013,240000km,06.2009,ML 280 3.0 CDI V6 4-Matic,5,4,190ch dyn,,15cv,,Similicuir,Traction,Diesel
KIA,Sportage,97 000DT,Automatique,SUV/4x4,Blanc,Gris,1998cm³,Tunis,IV Phase 109/2015 - 07/2018,143000km,12.2016,,5,4,,,10cv,,Similicuir,Traction,Diesel
Chery,Tiggo 3X,54 500DT,Automatique,SUV/4x4,Gris argent,Noir,999cm³,BenArous,12/2021 - Aujourd'hui,74000km,10.2022,1.0 L Turbo CVT,5,4,102ch dyn,,6cv,,Similicuir,Traction,Essence
Mazda,BT-50,65 000DT,Manuelle,SUV/4x4,Blanc,Noir,2198cm³,BenArous,Mazda BT5010/2011 - Aujourd'hui,154000km,10.2019,,5,4,,,9cv,,Tissu,Traction,Diesel
BMW,Série 3,61 500DT,Automatique,Berline,Gris anthracite,Beige,1988cm³,Ariana,(F30) Berline01/2011 - 08/2015,139000km,07.2012,,5,4,,,10cv,,Similicuir,Traction,Essence
Chevrolet,Groove,76 500DT,Automatique,SUV/4x4,Gris argent,Noir,1489cm³,Ariana,01/2022 - Aujourd'hui,6500km,03.2024,1.5 L,5,4,106ch dyn,,6cv,,Tissu,Traction,Essence
Seat,Ibiza,77 500DT,Automatique,Citadine,Noir,Noir,999cm³,BenArous,V Phase 207/2021 - Aujourd'hui,1300km,10.2024,,5,4,,,6cv,,Tissu,Traction,Essence
Suzuki,Swift,52 000DT,Automatique,Citadine,Gris argent,Noir,1198cm³,BenArous,V06/2018 - Aujourd'hui,14000km,08.2023,,5,4,,,5cv,,Tissu,Traction,Essence
MG,5,70 000DT,Automatique,Berline,Gris argent,Marron,1498cm³,Tunis,10/2021 - Aujourd'hui,26000km,03.2022,,5,4,,,7cv,,Similicuir,Traction,Essence
Seat,Ibiza,42 500DT,Manuelle,Citadine,Gris argent,Noir,999cm³,BenArous,V02/2017 - 06/2021,124000km,07.2018,,5,4,,,4cv,,Tissu,Traction,Essence
Volkswagen,Caddy,41 500DT,Manuelle,Utilitaire,Gris anthracite,Noir,1598cm³,Ariana,IV Van06/2015 - 12/2020,85000km,02.2016,,2,3,,,5cv,,Tissu,Traction,Diesel
Citroën,C4,31 900DT,Manuelle,Citadine,Autre,Noir,1398cm³,BenArous,II (B7)09/2010 - 06/2018,199000km,05.2013,,5,4,,,6cv,,Alcantara,Traction,Essence
Land Rover,Range Rover Sport,79 000DT,Automatique,SUV/4x4,Noir,Noir,2697cm³,BenArous,Sport I06/2005 - 08/2009,184000km,04.2008,,5,4,,,13cv,,Similicuir,Traction,Diesel
Citroën,C3,27 500DT,Manuelle,Citadine,Noir,Autre,1124cm³,BenArous,II (A51)10/2009 - 07/2016,115000km,11.2011,1.1 i Airdream,5,4,60ch dyn,,5cv,,Tissu,Traction,Essence
MG,3,59 000DT,Manuelle,Citadine,Noir,Noir,1498cm³,BenArous,II01/2019 - 12/2023,12000km,03.2024,1.5 L,5,4,107ch dyn,,6cv,,Tissu,Traction,Essence
Hyundai,Autre,72 000DT,Manuelle,Autres,Blanc,Noir,2498cm³,BenArous,,26000km,11.2021,,3,3,,,8cv,,Tissu,Traction,Diesel
Volkswagen,Caddy,68 000DT,Manuelle,Utilitaire,Noir,Noir,1998cm³,BenArous,V Van01/2021 - Aujourd'hui,38000km,03.2022,,2,3,,,7cv,,Similicuir,Traction,Diesel
Ford,Fusion,45 000DT,Manuelle,Berline,Blanc,Noir,1498cm³,BenArous,,146000km,11.2016,,5,4,,,9cv,,Alcantara,Traction,Essence
Mercedes-Benz,ML,38 000DT,Automatique,SUV/4x4,Noir,Gris,2987cm³,BenArous,(164)05/2005 - 04/2008,283000km,07.2006,,5,4,,,15cv,,Similicuir,Traction,Diesel
Toyota,Prado,53 000DT,Manuelle,SUV/4x4,Bleu,Marron,2998cm³,Tunis,,330000km,06.2002,,7,4,,,11cv,,Similicuir,Traction,Diesel
Peugeot,207,27 500DT,Manuelle,Coupé,Blanc,Noir,1389cm³,BenArous,3 portes03/2006 - 12/2012,290000km,07.2011,,4,2,,,6cv,,Tissu,Traction,Diesel
Seat,Leon,64 500DT,Manuelle,Citadine,Blanc,Noir,1198cm³,BenArous,IV (KL1) HB 5 portes11/2019 - Aujourd'hui,159000km,05.2020,,5,4,,,6cv,,Alcantara,Traction,Essence
Mercedes-Benz,Classe A,56 000DT,Manuelle,Citadine,Noir,Noir,1598cm³,BenArous,(W176)09/2012 - 06/2015,174000km,05.2014,,5,4,,,6cv,,Similicuir,Traction,Essence
Citroën,C4 Cactus,58 000DT,Manuelle,Citadine,Gris anthracite,Noir,1598cm³,BenArous,Phase 212/2017 - Aujourd'hui,146000km,10.2019,,5,4,,,5cv,,Tissu,Traction,Diesel
Suzuki,Swift,39 000DT,Automatique,Citadine,Blanc,Noir,1198cm³,Tunis,V06/2018 - Aujourd'hui,139000km,10.2018,,5,4,,,5cv,,Tissu,Traction,Essence
Infiniti,FX,43 000DT,Automatique,SUV/4x4,Blanc,Noir,3498cm³,Tunis,,182000km,09.2008,,5,4,,,20cv,,Similicuir,Traction,Essence
Land Rover,Range Rover Sport,85 000DT,Automatique,SUV/4x4,Blanc,Beige,2689cm³,Tunis,Sport I06/2005 - 08/2009,200000km,01.2009,,5,4,,,13cv,,Similicuir,Traction,Diesel
Chery,Tiggo 2,41 000DT,Manuelle,SUV/4x4,Blanc,Noir,1498cm³,BenArous,I05/2019 - 02/2022,135000km,05.2020,1.5,5,4,106ch dyn,,6cv,,Alcantara,Traction,Essence
Geely,GC6,35 000DT,Manuelle,Berline,Gris argent,Autre,1498cm³,BenArous,03/2019 - 02/2022,77000km,09.2021,,5,4,,,6cv,,Similicuir,Traction,Essence
Citroën,Jumpy Fourgon,38 000DT,Manuelle,Utilitaire,Blanc,Noir,1598cm³,BenArous,II VUL01/2007 - 06/2016,183000km,12.2015,,3,3,,,6cv,,Tissu,Traction,Diesel
Volkswagen,Golf 6,34 000DT,Manuelle,Citadine,Noir,Noir,1198cm³,BenArous,VI 5 Portes10/2008 - 12/2015,262000km,07.2010,,5,4,,,7cv,,Similicuir,Traction,Essence
Fiat,Strada,24 000DT,Manuelle,Pickup,Blanc,Autre,1099cm³,BenArous,Pick-up03/1999 - 03/2003,228000km,02.2001,,2,2,,,7cv,,Tissu,Traction,Diesel
Toyota,Hilux Double Cabine,125 000DT,Manuelle,Pickup,Gris anthracite,Noir,2398cm³,BenArous,(GUN 1./35)03/2016 - Aujourd'hui,214000km,08.2018,,5,4,,,8cv,,Similicuir,Traction,Diesel
Nissan,Qashqai,74 900DT,Automatique,SUV/4x4,Blanc,Noir,1198cm³,Ariana,II Phase 2 (J11E)06/2017 - 07/2021,141000km,09.2017,,5,4,,,6cv,,Alcantara,Traction,Essence
Ford,Fiesta,24 500DT,Manuelle,Citadine,Noir,Beige,1198cm³,Ariana,VI 5 portes10/2008 - 05/2013,260000km,07.2008,,5,4,,,5cv,,Tissu,Traction,Essence
Peugeot,2008,48 000DT,Manuelle,Citadine,Blanc,Noir,1198cm³,BenArous,(A94) 5HB04/2013 - 10/2019,75000km,02.2018,,5,4,,,5cv,,Tissu,Traction,Essence
Ford,Ranger,150 000DT,Automatique,Pickup,Bleu,Noir,2198cm³,Tunis,III (TKE) Phase 310/2019 - Aujourd'hui,70000km,07.2020,,4,5,,,7cv,,Similicuir,Traction,Diesel
Volkswagen,Passat,28 000DT,Manuelle,Berline,Noir,Gris,1598cm³,BenArous,B6 Berline03/2005 - 07/2010,212000km,04.2007,,5,4,,,7cv,,Similicuir,Traction,Essence
Hyundai,Grand i10,41 500DT,Automatique,Citadine,Rouge,Noir,999cm³,BenArous,I01/2014 - 10/2020,97000km,02.2020,1.2 87cv boite auto,5,4,87ch dyn,,4cv,,Tissu,Traction,Essence
KIA,Sportage,76 000DT,Automatique,SUV/4x4,Noir,Gris,1598cm³,BenArous,IV Phase 109/2015 - 07/2018,150000km,02.2018,1.6 GDi CVVT 16V 4x2  Boite Auto,5,4,132ch dyn,,8cv,,Similicuir,Traction,Essence
BMW,Série 3 coupé,39 900DT,Manuelle,Coupé,Gris argent,Marron,1598cm³,BenArous,,232000km,09.2009,,4,2,,,7cv,,Similicuir,Traction,Essence
Volkswagen,Polo,31 900DT,Manuelle,Citadine,Gris argent,Noir,1198cm³,BenArous,V 5 portes01/2010 - 05/2014,316000km,03.2011,,5,4,,,4cv,,Tissu,Traction,Diesel
Volkswagen,Golf Plus,79 000DT,Manuelle,Citadine,Bleu,Noir,999cm³,BenArous,,72000km,08.2018,,5,4,,,6cv,,Tissu,Traction,Essence
Land Rover,Defender 110,200 000DT,Manuelle,SUV/4x4,Blanc,Noir,2198cm³,BenArous,I Phase 2 11003/2007 - 01/2016,115000km,03.2014,,5,4,,,8cv,,Similicuir,Traction,Diesel
Mazda,3 sedan,52 000DT,Manuelle,Berline,Noir,Noir,1498cm³,BenArous,Mazda 3 III Berline Phase 210/2016 - 03/2019,147000km,08.2018,,5,4,,,6cv,,Alcantara,Traction,Essence
Ford,Focus,36 000DT,Manuelle,Citadine,Noir,Noir,999cm³,BenArous,III Hatchback Phase 209/2014 - 05/2018,227000km,01.2016,,5,4,,,6cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe E,110 000DT,Automatique,Berline,Noir,Marron,1598cm³,BenArous,(213) Berline01/2016 - 09/2020,252000km,10.2017,,5,4,,,9cv,,Similicuir,Traction,Essence
BMW,Série 7,155 500DT,Automatique,Berline,Blanc,Marron,2998cm³,Ariana,,200000km,12.2012,,5,4,,,20cv,,Similicuir,Traction,Diesel
Nissan,Qashqai,39 500DT,Manuelle,SUV/4x4,Noir,Noir,1498cm³,BenArous,I Phase 2 (J10E)01/2010 - 11/2013,285000km,11.2011,,5,4,,,6cv,,Similicuir,Traction,Diesel
Toyota,C-HR,88 000DT,Automatique,SUV/4x4,Gris anthracite,Noir,1198cm³,Tunis,I Phase 210/2019 - 12/2023,77000km,10.2020,1.2 L,5,4,116ch dyn,,6cv,,Alcantara,Traction,Essence
Renault,Clio,43 900DT,Manuelle,Citadine,Gris anthracite,Noir,1198cm³,BenArous,V Phase 1 5 Portes09/2020 - 12/2022,149000km,03.2021,,5,4,,,5cv,,Tissu,Traction,Essence
Mercedes-Benz,ML,56 000DT,Automatique,SUV/4x4,Noir,Beige,2998cm³,BenArous,(164)05/2005 - 04/2008,237000km,01.2006,,5,4,,,15cv,,Similicuir,Traction,Diesel
Volkswagen,Golf 7,59 900DT,Automatique,Citadine,Blanc,Noir,1398cm³,BenArous,VII 5 Portes08/2012 - 10/2016,139000km,04.2015,,5,4,,,7cv,,Alcantara,Traction,Essence
Mahindra,KUV 100,36 000DT,Manuelle,SUV/4x4,Gris argent,Noir,1198cm³,BenArous,01/2016 - Aujourd'hui,79000km,04.2022,,5,4,,,5cv,,Tissu,Traction,Essence
Mazda,CX-7,45 000DT,Automatique,SUV/4x4,Noir,Noir,2298cm³,BenArous,05/2007 - 05/2009,165000km,07.2009,2.3 i Turbo 4WD SUV,5,4,260ch dyn,,18cv,,Tissu,Traction,Essence
Mazda,CX-9,98 000DT,Automatique,SUV/4x4,Noir,Rouge,2498cm³,Ariana,,169000km,11.2019,,7,5,,,15cv,,Similicuir,Traction,Essence
Seat,Leon,53 000DT,Automatique,Citadine,Gris anthracite,Noir,1198cm³,Tunis,III (5F1) 5 portes09/2012 - 10/2016,96000km,04.2014,1.2 TSI 16V DSG7 S&S,5,4,105ch dyn,,6cv,,Alcantara,Traction,Essence
KIA,Picanto,45 000DT,Automatique,Citadine,Blanc,Noir,1198cm³,BenArous,(JA) Phase 207/2020 - Aujourd'hui,91000km,05.2021,,5,4,,,5cv,,Alcantara,Traction,Essence
Volkswagen,Golf 7,47 000DT,Manuelle,Citadine,Gris anthracite,Noir,1198cm³,Tunis,VII 5 Portes08/2012 - 10/2016,175000km,12.2014,,5,4,,,5cv,,Tissu,Traction,Essence
BMW,Série 3,41 000DT,Manuelle,Berline,Rouge,Beige,1598cm³,Ariana,(E90) LCI Berline10/2008 - 12/2010,241000km,11.2008,316i 1.6 i 16V,5,4,116ch dyn,,7cv,,Similicuir,Traction,Essence
Renault,Clio,44 000DT,Manuelle,Citadine,Noir,Noir,999cm³,BenArous,IV 5 Portes Phase 211/2016 - 08/2020,47000km,10.2020,0.9 TCe 12V Energy S&S,5,4,90ch dyn,,4cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,130 000DT,Automatique,Berline,Blanc,Noir,1595cm³,Tunis,(205) Berline03/2014 - 04/2021,146000km,03.2017,,5,4,,,8cv,,Similicuir,Traction,Essence
Skoda,Octavia,51 000DT,Automatique,Berline,Gris anthracite,Noir,1395cm³,BenArous,(5E3) Berline11/2012 - 01/2017,174000km,01.2016,,5,4,,,8cv,,Alcantara,Traction,Essence
Nissan,Juke,95 000DT,Automatique,SUV/4x4,Noir,Noir,999cm³,BenArous,II (F16E)10/2019 - Aujourd'hui,5000km,05.2024,1.0 DIG-T 12V 7DCT,5,4,117ch dyn,,6cv,,Alcantara,Traction,Essence
Mercedes-Benz,Classe E,260 000DT,Automatique,Berline,Noir,Noir,1998cm³,BenArous,(213) Phase 2 Berline10/2020 - 12/2022,37000km,11.2021,,5,4,,,10cv,,Alcantara,Traction,Hybride essence
Hyundai,Grand i10,63 900DT,Automatique,Citadine,Noir,Noir,1198cm³,BenArous,II phase 111/2020 - 11/2023,1000km,10.2024,1.2 83cv boite auto,5,4,83ch dyn,,5cv,,Tissu,Traction,Essence
Skoda,Scala,64 000DT,Automatique,Citadine,Bleu,Noir,1598cm³,BenArous,02/2019 - 04/2024,94000km,06.2021,,5,4,,,6cv,,Alcantara,Traction,Essence
Mitsubishi,L200 Sportero,130 000DT,Automatique,Pickup,Marron,Noir,2498cm³,BenArous,III (KK/KL) Phase 207/2019 - Aujourd'hui,60000km,11.2022,,5,5,,,8cv,,Tissu,Traction,Diesel
Audi,A6,99 500DT,Automatique,Berline,Autre,Marron,1798cm³,Ariana,,117000km,10.2015,,5,4,,,10cv,,Similicuir,Traction,Essence
Seat,Ibiza,63 500DT,Manuelle,Citadine,Noir,Noir,1598cm³,Ariana,V02/2017 - 06/2021,87000km,07.2020,,5,4,,,6cv,,Similicuir,Traction,Essence
Ssangyong,Tivoli,50 000DT,Manuelle,SUV/4x4,Noir,Marron,1598cm³,BenArous,03/2015 - 05/2019,83000km,05.2018,,5,4,,,7cv,,Similicuir,Traction,Essence
Mini,Countryman,41 000DT,Manuelle,Citadine,Noir,Noir,1598cm³,Ariana,2 (R60) Countryman08/2010 - 07/2014,179000km,12.2010,,5,4,,,6cv,,Tissu,Traction,Essence
Audi,A4,85 000DT,Automatique,Berline,Gris anthracite,Gris,1398cm³,BenArous,IV Phase 1 (B9)01/2016 - 06/2019,141000km,04.2017,,5,4,,,8cv,,Similicuir,Traction,Essence
Jeep,Cherokee,69 000DT,Automatique,SUV/4x4,Blanc,Noir,1998cm³,BenArous,IV (KL)04/2014 - Aujourd'hui,297000km,03.2015,,5,4,,,10cv,,Similicuir,Traction,Diesel
Porsche,Panamera,165 000DT,Automatique,Berline,Marron,Beige,4798cm³,BenArous,Panamara 97002/2009 - 06/2013,192000km,11.2009,,5,4,,,30cv,,Similicuir,Traction,Essence
Mercedes-Benz,Classe S,78 000DT,Automatique,Berline,Noir,Beige,3498cm³,BenArous,(221) Berline10/2004 - 06/2009,112000km,07.2007,350 3.5 i V6 24V 7G-TRONIC,5,4,272ch dyn,,19cv,,Similicuir,Traction,Essence
BMW,Série 5,134 000DT,Automatique,Berline,Noir,Beige,1598cm³,Ariana,(G30) Berline02/2017 - 06/2020,135000km,01.2018,,5,4,,,10cv,,Similicuir,Traction,Essence
