Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Mercedes-Benz,Classe C,235 000DT,Automatique,Berline,Noir,Noir,1800cm³,Tunis,(206) Berline04/2021 - Aujourd'hui,50000km,01.2023,200 1.5 i 16V EQ Boost 4MATIC 9G-TRONIC,5,5,204ch dyn,,9cv,,Cuir intégral,Traction,Essence
Jaguar,XE,120 000DT,Automatique,Berline,Noir,Beige,2000cm³,Tunis,Berline03/2015 - 02/2019,140000km,09.2017,,5,5,,,9cv,,Cuir intégral,Traction,Diesel
Peugeot,Rifter,72 000DT,Manuelle,Compacte,Blanc,Noir,1599cm³,Tunis,06/2018 - Aujourd'hui,95000km,11.2020,,5,5,,,7cv,,Tissu,Traction,Diesel
BMW,Série 7,110 000DT,Automatique,Berline,Noir,Noir,4000cm³,Tunis,,98000km,04.2010,,5,5,,,23cv,,Cuir intégral,Traction,Essence
Peugeot,Rifter,72 000DT,Manuelle,Compacte,Blanc,Noir,1500cm³,Tunis,06/2018 - Aujourd'hui,95000km,11.2020,,5,5,,,7cv,,Tissu,Traction,Diesel
Land Rover,Range Rover Evoque,187 000DT,Automatique,SUV/4x4,Blanc,Noir,2000cm³,Tunis,Evoque II05/2019 - Aujourd'hui,50000km,08.2019,D150 2.0 Td4 16V MHEV AWD,5,5,150ch dyn,,9cv,,Cuir intégral,Traction,Diesel
Ford,Mondeo,115 000DT,Automatique,Berline,Noir,Noir,1599cm³,Tunis,,32000km,10.2020,,5,5,,,7cv,,Cuir intégral,Traction,Hybride essence
KIA,Rio 5p,64 000DT,Manuelle,Citadine,Noir,Noir,1200cm³,Tunis,IV Phase 209/2020 - Aujourd'hui,64000km,12.2021,1.2 i-CVVT 16V ISG,5,5,84ch dyn,,5cv,,Tissu,Traction,Essence
Mercedes-Benz,GLC,169 000DT,Automatique,SUV/4x4,Noir,Noir,2499cm³,Tunis,(X253) SUV07/2015 - 03/2019,115000km,10.2017,,5,5,,,12cv,,Similicuir,Traction,Essence
Mini,5 portes,57 000DT,Manuelle,Citadine,Gris Shark,Noir,1200cm³,Tunis,3 (F55) 5 Portes09/2014 - 02/2021,78000km,05.2016,,5,5,,,6cv,,Similicuir,Traction,Essence
Citroën,C3,48 000DT,Manuelle,Citadine,Blanc,Noir,1199cm³,Tunis,III (B618)07/2016 - 06/2020,28000km,05.2020,,5,5,,,4cv,,Tissu,Traction,Essence
Audi,A3 Berline,85 000DT,Automatique,Berline,Bleu,Gris,1000cm³,Tunis,Série 3 Phase 2 Limousine05/2016 - 11/2019,50000km,07.2019,,5,5,,,6cv,,Alcantara,Traction,Essence
KIA,Sportage,83 500DT,Automatique,SUV/4x4,Gris Shark,Noir,1699cm³,Tunis,IV Phase 207/2018 - 12/2021,127000km,08.2019,,5,5,,,8cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,GLA,235 000DT,Automatique,SUV/4x4,Bleu,Noir,2000cm³,Tunis,(X247)01/2020 - Aujourd'hui,12000km,08.2023,200 1.4 i 16V 7G-DCT,5,5,163ch dyn,,11cv,,Cuir intégral,Traction,Essence
Audi,Q3,95 000DT,Automatique,SUV/4x4,Noir,Marron,1599cm³,Tunis,,95000km,08.2017,,5,5,,,7cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,GLB,210 000DT,Automatique,SUV/4x4,Noir,Noir,2000cm³,Tunis,(X247)08/2019 - Aujourd'hui,111000km,01.2021,,5,5,,,9cv,,Cuir intégral,Traction,Diesel
Audi,A4,58 000DT,Automatique,Berline,Blanc,Noir,1799cm³,Tunis,IV Phase 1 (B9)01/2016 - 06/2019,143000km,01.2016,,5,5,,,7cv,,Cuir intégral,Traction,Essence
Land Rover,Range Rover Evoque,95 000DT,Automatique,SUV/4x4,Noir,Noir,2000cm³,Tunis,Evoque I Phase 2 (5p)06/2015 - 04/2019,170000km,01.2016,,5,5,,,15cv,,Cuir intégral,Traction,Essence
BMW,Série 1,135 000DT,Automatique,SUV/4x4,Gris Shark,Gris,1200cm³,Tunis,(F40) 5 portes09/2019 - Aujourd'hui,40000km,08.2020,,5,5,,,7cv,,Alcantara,Traction,Essence
Land Rover,Range Rover Evoque,195 000DT,Automatique,SUV/4x4,Beige,Gris,2000cm³,Tunis,Evoque II05/2019 - Aujourd'hui,40000km,10.2019,D150 2.0 Td4 16V MHEV AWD,5,5,150ch dyn,,9cv,,Cuir intégral,Traction,Diesel
Haval,H6,79 000DT,Automatique,SUV/4x4,Bleu,Marron,1599cm³,Tunis,II01/2019 - 06/2021,120000km,06.2020,1.5 T 143cv boite auto,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
Iveco,Daily Simple Cabine,105 000DT,Manuelle,Autres,Blanc,Noir,3000cm³,Tunis,,40000km,12.2022,,3,2,,,10cv,,Cuir intégral,Propulsion,Diesel
Land Rover,Discovery Sport,128 000DT,Automatique,SUV/4x4,Noir,Noir,2000cm³,Tunis,Sport09/2014 - 04/2019,128000km,05.2017,,5,5,,,8cv,,Cuir intégral,Traction,Diesel
Haval,H6,90 000DT,Automatique,SUV/4x4,Noir,Marron,1599cm³,Tunis,II01/2019 - 06/2021,40000km,02.2021,1.5 T 143cv boite auto,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
KIA,Sportage Hybride,98 000DT,Automatique,SUV/4x4,Blanc,Beige,1599cm³,Tunis,IV Phase 207/2018 - 12/2021,140000km,11.2020,,5,5,,,7cv,,Cuir intégral,Traction,Hybride diesel
KIA,Sportage,85 000DT,Automatique,SUV/4x4,Gris Shark,Noir,1599cm³,Tunis,IV Phase 207/2018 - 12/2021,125000km,08.2019,,5,5,,,8cv,,Cuir intégral,Traction,Essence
Hyundai,Tucson Hybride,137 000DT,Automatique,SUV/4x4,Blanc,Noir,1599cm³,Tunis,IV10/2020 - Aujourd'hui,80000km,08.2021,,5,5,,,7cv,,Cuir intégral,Traction,Hybride diesel
Audi,Q5,165 000DT,Automatique,SUV/4x4,Bleu,Noir,2000cm³,Tunis,II05/2016 - 11/2020,170000km,04.2019,,5,5,,,12cv,,Cuir intégral,Traction,Diesel
Fiat,Panda City Cross,43 500DT,Manuelle,Citadine,Rouge,Noir,1200cm³,Tunis,(312)01/2012 - Aujourd'hui,52000km,09.2020,,5,5,,,4cv,,Cuir partiel,Traction,Essence
